homicidios_femeninos.csv,,,,,,Analisis_Temporal,,,,,Estados_Cambio,,,,,,Top_Estados_Verificacion,
Tlaxcala,1991,0.97,Tlaxcala,1991-01-01,,"<html>
<head><meta charset=""utf-8"" /></head>
<body>
    <div>            <script crossorigin=""anonymous"" src=""https://cdnjs.cloudflare.com/ajax/libs/mathjax/2.7.5/MathJax.js?config=TeX-AMS-MML_SVG""></script><script type=""text/javascript"">if (window.MathJax && window.MathJax.Hub && window.MathJax.Hub.Config) {window.MathJax.Hub.Config({SVG: {font: ""STIX-Web""}});}</script>                <script type=""text/javascript"">window.PlotlyConfig = {MathJaxConfig: 'local'};</script>
        <script charset=""utf-8"" crossorigin=""anonymous"" src=""https://cdn.plot.ly/plotly-3.3.0.min.js"" integrity=""sha256-bO3dS6yCpk9aK4gUpNELtCiDeSYvGYnK7jFI58NQnHI="" crossorigin=""anonymous""></script>                <div id=""1a33682b-b030-4eb7-a4cd-580de4b6520d"" class=""plotly-graph-div"" style=""height:600px; width:800px;""></div>            <script type=""text/javascript"">                window.PLOTLYENV=window.PLOTLYENV || {};                                if (document.getElementById(""1a33682b-b030-4eb7-a4cd-580de4b6520d"")) {                    Plotly.newPlot(                        ""1a33682b-b030-4eb7-a4cd-580de4b6520d"",                        [{""marker"":{""color"":{""dtype"":""f8"",""bdata"":""ZmZmZmbWN0CamZmZmTkxQOF6FK5HkTBAuB6F61GYL0AUrkfhelQuQML1KFyPoiVApHA9CtfjIkAAAAAAAKAhQArXo3A9Ch9AH4XrUbjeG0D2KFyPwrUTQNejcD0KlxNASOF6FK6HEkAAAAAAAIARQArXo3A9yhBA""},""colorbar"":{""title"":{""text"":""Tasa""}},""colorscale"":[[0.0,""rgb(255,245,240)""],[0.125,""rgb(254,224,210)""],[0.25,""rgb(252,187,161)""],[0.375,""rgb(252,146,114)""],[0.5,""rgb(251,106,74)""],[0.625,""rgb(239,59,44)""],[0.75,""rgb(203,24,29)""],[0.875,""rgb(165,15,21)""],[1.0,""rgb(103,0,13)""]],""showscale"":true},""orientation"":""h"",""text"":{""dtype"":""f8"",""bdata"":""16NwPQrXN0B7FK5H4ToxQFK4HoXrkTBAmpmZmZmZL0BSuB6F61EuQKRwPQrXoyVA4XoUrkfhIkAfhetRuJ4hQArXo3A9Ch9A4XoUrkfhG0C4HoXrUbgTQJqZmZmZmRNAhetRuB6FEkCF61G4HoURQM3MzMzMzBBA""},""textposition"":""outside"",""x"":{""dtype"":""f8"",""bdata"":""ZmZmZmbWN0CamZmZmTkxQOF6FK5HkTBAuB6F61GYL0AUrkfhelQuQML1KFyPoiVApHA9CtfjIkAAAAAAAKAhQArXo3A9Ch9AH4XrUbjeG0D2KFyPwrUTQNejcD0KlxNASOF6FK6HEkAAAAAAAIARQArXo3A9yhBA""},""y"":[""Colima"",""Guanajuato"",""Zacatecas"",""Baja California"",""Chihuahua"",""Morelos"",""Michoac\u00e1n"",""Sonora"",""Guerrero"",""Quintana Roo"",""M\u00e9xico"",""Jalisco"",""Oaxaca"",""San Luis Potos\u00ed"",""Nuevo Le\u00f3n""],""type"":""bar""}],                        {""template"":{""data"":{""histogram2dcontour"":[{""type"":""histogram2dcontour"",""colorbar"":{""outlinewidth"":0,""ticks"":""""},""colorscale"":[[0.0,""#0d0887""],[0.1111111111111111,""#46039f""],[0.2222222222222222,""#7201a8""],[0.3333333333333333,""#9c179e""],[0.4444444444444444,""#bd3786""],[0.5555555555555556,""#d8576b""],[0.6666666666666666,""#ed7953""],[0.7777777777777778,""#fb9f3a""],[0.8888888888888888,""#fdca26""],[1.0,""#f0f921""]]}],""choropleth"":[{""type"":""choropleth"",""colorbar"":{""outlinewidth"":0,""ticks"":""""}}],""histogram2d"":[{""type"":""histogram2d"",""colorbar"":{""outlinewidth"":0,""ticks"":""""},""colorscale"":[[0.0,""#0d0887""],[0.1111111111111111,""#46039f""],[0.2222222222222222,""#7201a8""],[0.3333333333333333,""#9c179e""],[0.4444444444444444,""#bd3786""],[0.5555555555555556,""#d8576b""],[0.6666666666666666,""#ed7953""],[0.7777777777777778,""#fb9f3a""],[0.8888888888888888,""#fdca26""],[1.0,""#f0f921""]]}],""heatmap"":[{""type"":""heatmap"",""colorbar"":{""outlinewidth"":0,""ticks"":""""},""colorscale"":[[0.0,""#0d0887""],[0.1111111111111111,""#46039f""],[0.2222222222222222,""#7201a8""],[0.3333333333333333,""#9c179e""],[0.4444444444444444,""#bd3786""],[0.5555555555555556,""#d8576b""],[0.6666666666666666,""#ed7953""],[0.7777777777777778,""#fb9f3a""],[0.8888888888888888,""#fdca26""],[1.0,""#f0f921""]]}],""contourcarpet"":[{""type"":""contourcarpet"",""colorbar"":{""outlinewidth"":0,""ticks"":""""}}],""contour"":[{""type"":""contour"",""colorbar"":{""outlinewidth"":0,""ticks"":""""},""colorscale"":[[0.0,""#0d0887""],[0.1111111111111111,""#46039f""],[0.2222222222222222,""#7201a8""],[0.3333333333333333,""#9c179e""],[0.4444444444444444,""#bd3786""],[0.5555555555555556,""#d8576b""],[0.6666666666666666,""#ed7953""],[0.7777777777777778,""#fb9f3a""],[0.8888888888888888,""#fdca26""],[1.0,""#f0f921""]]}],""surface"":[{""type"":""surface"",""colorbar"":{""outlinewidth"":0,""ticks"":""""},""colorscale"":[[0.0,""#0d0887""],[0.1111111111111111,""#46039f""],[0.2222222222222222,""#7201a8""],[0.3333333333333333,""#9c179e""],[0.4444444444444444,""#bd3786""],[0.5555555555555556,""#d8576b""],[0.6666666666666666,""#ed7953""],[0.7777777777777778,""#fb9f3a""],[0.8888888888888888,""#fdca26""],[1.0,""#f0f921""]]}],""mesh3d"":[{""type"":""mesh3d"",""colorbar"":{""outlinewidth"":0,""ticks"":""""}}],""scatter"":[{""fillpattern"":{""fillmode"":""overlay"",""size"":10,""solidity"":0.2},""type"":""scatter""}],""parcoords"":[{""type"":""parcoords"",""line"":{""colorbar"":{""outlinewidth"":0,""ticks"":""""}}}],""scatterpolargl"":[{""type"":""scatterpolargl"",""marker"":{""colorbar"":{""outlinewidth"":0,""ticks"":""""}}}],""bar"":[{""error_x"":{""color"":""#2a3f5f""},""error_y"":{""color"":""#2a3f5f""},""marker"":{""line"":{""color"":""#E5ECF6"",""width"":0.5},""pattern"":{""fillmode"":""overlay"",""size"":10,""solidity"":0.2}},""type"":""bar""}],""scattergeo"":[{""type"":""scattergeo"",""marker"":{""colorbar"":{""outlinewidth"":0,""ticks"":""""}}}],""scatterpolar"":[{""type"":""scatterpolar"",""marker"":{""colorbar"":{""outlinewidth"":0,""ticks"":""""}}}],""histogram"":[{""marker"":{""pattern"":{""fillmode"":""overlay"",""size"":10,""solidity"":0.2}},""type"":""histogram""}],""scattergl"":[{""type"":""scattergl"",""marker"":{""colorbar"":{""outlinewidth"":0,""ticks"":""""}}}],""scatter3d"":[{""type"":""scatter3d"",""line"":{""colorbar"":{""outlinewidth"":0,""ticks"":""""}},""marker"":{""colorbar"":{""outlinewidth"":0,""ticks"":""""}}}],""scattermap"":[{""type"":""scattermap"",""marker"":{""colorbar"":{""outlinewidth"":0,""ticks"":""""}}}],""scattermapbox"":[{""type"":""scattermapbox"",""marker"":{""colorbar"":{""outlinewidth"":0,""ticks"":""""}}}],""scatterternary"":[{""type"":""scatterternary"",""marker"":{""colorbar"":{""outlinewidth"":0,""ticks"":""""}}}],""scattercarpet"":[{""type"":""scattercarpet"",""marker"":{""colorbar"":{""outlinewidth"":0,""ticks"":""""}}}],""carpet"":[{""aaxis"":{""endlinecolor"":""#2a3f5f"",""gridcolor"":""white"",""linecolor"":""white"",""minorgridcolor"":""white"",""startlinecolor"":""#2a3f5f""},""baxis"":{""endlinecolor"":""#2a3f5f"",""gridcolor"":""white"",""linecolor"":""white"",""minorgridcolor"":""white"",""startlinecolor"":""#2a3f5f""},""type"":""carpet""}],""table"":[{""cells"":{""fill"":{""color"":""#EBF0F8""},""line"":{""color"":""white""}},""header"":{""fill"":{""color"":""#C8D4E3""},""line"":{""color"":""white""}},""type"":""table""}],""barpolar"":[{""marker"":{""line"":{""color"":""#E5ECF6"",""width"":0.5},""pattern"":{""fillmode"":""overlay"",""size"":10,""solidity"":0.2}},""type"":""barpolar""}],""pie"":[{""automargin"":true,""type"":""pie""}]},""layout"":{""autotypenumbers"":""strict"",""colorway"":[""#636efa"",""#EF553B"",""#00cc96"",""#ab63fa"",""#FFA15A"",""#19d3f3"",""#FF6692"",""#B6E880"",""#FF97FF"",""#FECB52""],""font"":{""color"":""#2a3f5f""},""hovermode"":""closest"",""hoverlabel"":{""align"":""left""},""paper_bgcolor"":""white"",""plot_bgcolor"":""#E5ECF6"",""polar"":{""bgcolor"":""#E5ECF6"",""angularaxis"":{""gridcolor"":""white"",""linecolor"":""white"",""ticks"":""""},""radialaxis"":{""gridcolor"":""white"",""linecolor"":""white"",""ticks"":""""}},""ternary"":{""bgcolor"":""#E5ECF6"",""aaxis"":{""gridcolor"":""white"",""linecolor"":""white"",""ticks"":""""},""baxis"":{""gridcolor"":""white"",""linecolor"":""white"",""ticks"":""""},""caxis"":{""gridcolor"":""white"",""linecolor"":""white"",""ticks"":""""}},""coloraxis"":{""colorbar"":{""outlinewidth"":0,""ticks"":""""}},""colorscale"":{""sequential"":[[0.0,""#0d0887""],[0.1111111111111111,""#46039f""],[0.2222222222222222,""#7201a8""],[0.3333333333333333,""#9c179e""],[0.4444444444444444,""#bd3786""],[0.5555555555555556,""#d8576b""],[0.6666666666666666,""#ed7953""],[0.7777777777777778,""#fb9f3a""],[0.8888888888888888,""#fdca26""],[1.0,""#f0f921""]],""sequentialminus"":[[0.0,""#0d0887""],[0.1111111111111111,""#46039f""],[0.2222222222222222,""#7201a8""],[0.3333333333333333,""#9c179e""],[0.4444444444444444,""#bd3786""],[0.5555555555555556,""#d8576b""],[0.6666666666666666,""#ed7953""],[0.7777777777777778,""#fb9f3a""],[0.8888888888888888,""#fdca26""],[1.0,""#f0f921""]],""diverging"":[[0,""#8e0152""],[0.1,""#c51b7d""],[0.2,""#de77ae""],[0.3,""#f1b6da""],[0.4,""#fde0ef""],[0.5,""#f7f7f7""],[0.6,""#e6f5d0""],[0.7,""#b8e186""],[0.8,""#7fbc41""],[0.9,""#4d9221""],[1,""#276419""]]},""xaxis"":{""gridcolor"":""white"",""linecolor"":""white"",""ticks"":"""",""title"":{""standoff"":15},""zerolinecolor"":""white"",""automargin"":true,""zerolinewidth"":2},""yaxis"":{""gridcolor"":""white"",""linecolor"":""white"",""ticks"":"""",""title"":{""standoff"":15},""zerolinecolor"":""white"",""automargin"":true,""zerolinewidth"":2},""scene"":{""xaxis"":{""backgroundcolor"":""#E5ECF6"",""gridcolor"":""white"",""linecolor"":""white"",""showbackground"":true,""ticks"":"""",""zerolinecolor"":""white"",""gridwidth"":2},""yaxis"":{""backgroundcolor"":""#E5ECF6"",""gridcolor"":""white"",""linecolor"":""white"",""showbackground"":true,""ticks"":"""",""zerolinecolor"":""white"",""gridwidth"":2},""zaxis"":{""backgroundcolor"":""#E5ECF6"",""gridcolor"":""white"",""linecolor"":""white"",""showbackground"":true,""ticks"":"""",""zerolinecolor"":""white"",""gridwidth"":2}},""shapedefaults"":{""line"":{""color"":""#2a3f5f""}},""annotationdefaults"":{""arrowcolor"":""#2a3f5f"",""arrowhead"":0,""arrowwidth"":1},""geo"":{""bgcolor"":""white"",""landcolor"":""#E5ECF6"",""subunitcolor"":""white"",""showland"":true,""showlakes"":true,""lakecolor"":""white""},""title"":{""x"":0.05},""mapbox"":{""style"":""light""}}},""yaxis"":{""title"":{""text"":""""},""autorange"":""reversed""},""title"":{""text"":""Estados con Mayor Tasa de Feminicidios (Promedio 2020-2023)""},""xaxis"":{""title"":{""text"":""Tasa por 100,000 mujeres""},""showgrid"":true,""gridwidth"":1,""gridcolor"":""#ecf0f1""},""height"":600,""width"":800,""plot_bgcolor"":""white""},                        {""displaylogo"": false, ""responsive"": true}                    )                };            </script>        </div>
</body>
</html>",,,,,,,,,,,,
Veracruz,1991,1.89,Veracruz,1991-01-01,,,,,,,,,,,,,,
Yucatán,1991,0.27,Yucatán,1991-01-01,,,,,,,,,,,,,,
Zacatecas,1991,0.88,Zacatecas,1991-01-01,,,,,,,,,,,,,,
Aguascalientes,1992,0.49,Aguascalientes,1992-01-01,,,,,,,,,,,,,,
Baja California,1992,3.44,Baja California,1992-01-01,,,,,,,,,,,,,,
Baja California Sur,1992,0.0,Baja California Sur,1992-01-01,,,,,,,,,,,,,,
Campeche,1992,2.73,Campeche,1992-01-01,,,,,,,,,,,,,,
Coahuila,1992,1.33,Coahuila,1992-01-01,,,,,,,,,,,,,,
Colima,1992,3.02,Colima,1992-01-01,,,,,,,,,,,,,,
Chiapas,1992,3.21,Chiapas,1992-01-01,,,,,,,,,,,,,,
Chihuahua,1992,2.04,Chihuahua,1992-01-01,,,,,,,,,,,,,,
Ciudad de México,1992,2.69,Ciudad de México,1992-01-01,,,,,,,,,,,,,,
Durango,1992,1.94,Durango,1992-01-01,,,,,,,,,,,,,,
Guanajuato,1992,1.1,Guanajuato,1992-01-01,,,,,,,,,,,,,,
Guerrero,1992,3.07,Guerrero,1992-01-01,,,,,,,,,,,,,,
Hidalgo,1992,1.27,Hidalgo,1992-01-01,,,,,,,,,,,,,,
Jalisco,1992,2.23,Jalisco,1992-01-01,,,,,,,,,,,,,,
México,1992,8.87,Estado de México,1992-01-01,,,,,,,,,,,,,,
Michoacán,1992,2.81,Michoacán,1992-01-01,,,,,,,,,,,,,,
Morelos,1992,3.27,Morelos,1992-01-01,,,,,,,,,,,,,,
Nayarit,1992,3.66,Nayarit,1992-01-01,,,,,,,,,,,,,,
Nuevo León,1992,0.96,Nuevo León,1992-01-01,,,,,,,,,,,,,,
Oaxaca,1992,6.01,Oaxaca,1992-01-01,,,,,,,,,,,,,,
Puebla,1992,2.23,Puebla,1992-01-01,,,,,,,,,,,,,,
Querétaro,1992,1.7,Querétaro,1992-01-01,,,,,,,,,,,,,,
Quintana Roo,1992,3.18,Quintana Roo,1992-01-01,,,,,,,,,,,,,,
San Luis Potosí,1992,1.2,San Luis Potosí,1992-01-01,,,,,,,,,,,,,,
Sinaloa,1992,3.01,Sinaloa,1992-01-01,,,,,,,,,,,,,,
Sonora,1992,2.15,Sonora,1992-01-01,,,,,,,,,,,,,,
Tabasco,1992,1.35,Tabasco,1992-01-01,,,,,,,,,,,,,,
Tamaulipas,1992,1.56,Tamaulipas,1992-01-01,,,,,,,,,,,,,,
Tlaxcala,1992,1.42,Tlaxcala,1992-01-01,,,,,,,,,,,,,,
Veracruz,1992,2.02,Veracruz,1992-01-01,,,,,,,,,,,,,,
Yucatán,1992,0.81,Yucatán,1992-01-01,,,,,,,,,,,,,,
Zacatecas,1992,1.75,Zacatecas,1992-01-01,,,,,,,,,,,,,,
Aguascalientes,1993,0.72,Aguascalientes,1993-01-01,,,,,,,,,,,,,,
Baja California,1993,2.89,Baja California,1993-01-01,,,,,,,,,,,,,,
Baja California Sur,1993,1.14,Baja California Sur,1993-01-01,,,,,,,,,,,,,,
Campeche,1993,1.66,Campeche,1993-01-01,,,,,,,,,,,,,,
Coahuila,1993,0.84,Coahuila,1993-01-01,,,,,,,,,,,,,,
Colima,1993,2.53,Colima,1993-01-01,,,,,,,,,,,,,,
Chiapas,1993,2.81,Chiapas,1993-01-01,,,,,,,,,,,,,,
Chihuahua,1993,1.77,Chihuahua,1993-01-01,,,,,,,,,,,,,,
Ciudad de México,1993,2.44,Ciudad de México,1993-01-01,,,,,,,,,,,,,,
Durango,1993,1.79,Durango,1993-01-01,,,,,,,,,,,,,,
Guanajuato,1993,1.53,Guanajuato,1993-01-01,,,,,,,,,,,,,,
Guerrero,1993,2.54,Guerrero,1993-01-01,,,,,,,,,,,,,,
Hidalgo,1993,0.86,Hidalgo,1993-01-01,,,,,,,,,,,,,,
Jalisco,1993,1.76,Jalisco,1993-01-01,,,,,,,,,,,,,,
México,1993,9.0,Estado de México,1993-01-01,,,,,,,,,,,,,,
Michoacán,1993,3.83,Michoacán,1993-01-01,,,,,,,,,,,,,,
Morelos,1993,4.75,Morelos,1993-01-01,,,,,,,,,,,,,,
Nayarit,1993,2.94,Nayarit,1993-01-01,,,,,,,,,,,,,,
Nuevo León,1993,0.7,Nuevo León,1993-01-01,,,,,,,,,,,,,,
Oaxaca,1993,5.9,Oaxaca,1993-01-01,,,,,,,,,,,,,,
Puebla,1993,3.09,Puebla,1993-01-01,,,,,,,,,,,,,,
Querétaro,1993,0.83,Querétaro,1993-01-01,,,,,,,,,,,,,,
Quintana Roo,1993,1.99,Quintana Roo,1993-01-01,,,,,,,,,,,,,,
San Luis Potosí,1993,1.82,San Luis Potosí,1993-01-01,,,,,,,,,,,,,,
Sinaloa,1993,2.2,Sinaloa,1993-01-01,,,,,,,,,,,,,,
Sonora,1993,1.1,Sonora,1993-01-01,,,,,,,,,,,,,,
Tabasco,1993,1.43,Tabasco,1993-01-01,,,,,,,,,,,,,,
Tamaulipas,1993,1.05,Tamaulipas,1993-01-01,,,,,,,,,,,,,,
Tlaxcala,1993,0.93,Tlaxcala,1993-01-01,,,,,,,,,,,,,,
Veracruz,1993,1.63,Veracruz,1993-01-01,,,,,,,,,,,,,,
Yucatán,1993,0.79,Yucatán,1993-01-01,,,,,,,,,,,,,,
Zacatecas,1993,0.73,Zacatecas,1993-01-01,,,,,,,,,,,,,,
Aguascalientes,1994,0.93,Aguascalientes,1994-01-01,,,,,,,,,,,,,,
Baja California,1994,2.98,Baja California,1994-01-01,,,,,,,,,,,,,,
Baja California Sur,1994,1.11,Baja California Sur,1994-01-01,,,,,,,,,,,,,,
Campeche,1994,1.61,Campeche,1994-01-01,,,,,,,,,,,,,,
Coahuila,1994,1.2,Coahuila,1994-01-01,,,,,,,,,,,,,,
Colima,1994,3.3,Colima,1994-01-01,,,,,,,,,,,,,,
Chiapas,1994,3.94,Chiapas,1994-01-01,,,,,,,,,,,,,,
Chihuahua,1994,2.75,Chihuahua,1994-01-01,,,,,,,,,,,,,,
Ciudad de México,1994,2.56,Ciudad de México,1994-01-01,,,,,,,,,,,,,,
Durango,1994,2.74,Durango,1994-01-01,,,,,,,,,,,,,,
Guanajuato,1994,1.42,Guanajuato,1994-01-01,,,,,,,,,,,,,,
Guerrero,1994,7.04,Guerrero,1994-01-01,,,,,,,,,,,,,,
Hidalgo,1994,1.32,Hidalgo,1994-01-01,,,,,,,,,,,,,,
Jalisco,1994,1.89,Jalisco,1994-01-01,,,,,,,,,,,,,,
México,1994,8.17,Estado de México,1994-01-01,,,,,,,,,,,,,,
Michoacán,1994,3.79,Michoacán,1994-01-01,,,,,,,,,,,,,,
Morelos,1994,3.9,Morelos,1994-01-01,,,,,,,,,,,,,,
Nayarit,1994,3.35,Nayarit,1994-01-01,,,,,,,,,,,,,,
Nuevo León,1994,0.8,Nuevo León,1994-01-01,,,,,,,,,,,,,,
Oaxaca,1994,5.3,Oaxaca,1994-01-01,,,,,,,,,,,,,,
Puebla,1994,1.81,Puebla,1994-01-01,,,,,,,,,,,,,,
Querétaro,1994,1.28,Querétaro,1994-01-01,,,,,,,,,,,,,,
Quintana Roo,1994,4.99,Quintana Roo,1994-01-01,,,,,,,,,,,,,,
San Luis Potosí,1994,1.17,San Luis Potosí,1994-01-01,,,,,,,,,,,,,,
Sinaloa,1994,3.08,Sinaloa,1994-01-01,,,,,,,,,,,,,,
Sonora,1994,1.76,Sonora,1994-01-01,,,,,,,,,,,,,,
Tabasco,1994,2.56,Tabasco,1994-01-01,,,,,,,,,,,,,,
Tamaulipas,1994,3.01,Tamaulipas,1994-01-01,,,,,,,,,,,,,,
Tlaxcala,1994,0.23,Tlaxcala,1994-01-01,,,,,,,,,,,,,,
Veracruz,1994,1.52,Veracruz,1994-01-01,,,,,,,,,,,,,,
Yucatán,1994,0.52,Yucatán,1994-01-01,,,,,,,,,,,,,,
Zacatecas,1994,1.3,Zacatecas,1994-01-01,,,,,,,,,,,,,,
Aguascalientes,1995,1.13,Aguascalientes,1995-01-01,,,,,,,,,,,,,,
Baja California,1995,2.78,Baja California,1995-01-01,,,,,,,,,,,,,,
Baja California Sur,1995,4.32,Baja California Sur,1995-01-01,,,,,,,,,,,,,,
Campeche,1995,3.13,Campeche,1995-01-01,,,,,,,,,,,,,,
Coahuila,1995,1.27,Coahuila,1995-01-01,,,,,,,,,,,,,,
Colima,1995,2.42,Colima,1995-01-01,,,,,,,,,,,,,,
Chiapas,1995,3.93,Chiapas,1995-01-01,,,,,,,,,,,,,,
Chihuahua,1995,5.74,Chihuahua,1995-01-01,,,,,,,,,,,,,,
Ciudad de México,1995,2.45,Ciudad de México,1995-01-01,,,,,,,,,,,,,,
Durango,1995,1.9,Durango,1995-01-01,,,,,,,,,,,,,,
Guanajuato,1995,1.31,Guanajuato,1995-01-01,,,,,,,,,,,,,,
Guerrero,1995,5.13,Guerrero,1995-01-01,,,,,,,,,,,,,,
Hidalgo,1995,1.94,Hidalgo,1995-01-01,,,,,,,,,,,,,,
Jalisco,1995,2.21,Jalisco,1995-01-01,,,,,,,,,,,,,,
